12,ലളിതപദം ,നജ ജയം,,16,NJJY
12,ചന്ദ്രവർത്മ  ,രന ഭസം ,,16,RNBS
12,ഉജ്ജ്വല ,നന ഭരം  ,,15,NNBR
12,ലലന ,ഭമ സസം ,,18,BMSS
12,ദ്രുതപാദം ,നഭ നയം ,,15,NBNY
12,ദ്രുതഗതി ,നഭ ജയം,,16,NBJY
12,കന്യാ ,ഭസ നയം ,,16,BSNY
12,കോകരതാഖ്യ,സയ സയം ,,18,SYSY
12,സുഭഗ ,ഭത നസം ,,16,BTNS
12,ലളിത ,നന മരം,,17,NNMR
12,ജ്വാല ,നന ഭമം  ,,16,NNBM
12,ഉജ്വല ,ഭഭ നയം,,16,BBNY
12,സുഭതി ,ഭസ ജസം ,,16,BSJS
12,അതിരുചിരം  ,നജ നസം ,,14,NJNS
13,പ്രഹർഷിണി ,മനജ രഗം ,3,20,MNJRG
13,മഞ്ജുഭാഷിണി ,സജസ ജഗം ,,18,SJSJG
13,അതിരുചിരം  ,ജഭസ ജഗം ,4,18,JBSJG
13,ക്ഷമ,നന തതം   ,7,16,NNTT
13,മത്തമയൂരം ,മത സഗം ,4,17,MTSG
13,ചഞ്ചരീകാവലി  ,യമര രഗം,,23,YMRRG
13,ചന്ദ്രലേഖാഖ്യ ,നസര രഗം ,,19,NSRRG
13,വിദ്യുത് ,നനത തഗം ,6,18,NNTTG
13,ഉർവശി ,നതത തഗം ,,20,NTTTG
13,സരസാഖ്യ ,സജസ സഗം ,,18,SJSSG
13,മത്തകാശിനി ,ജതസ ജഗം ,,19,JTSJG
13,പ്രഭദ്രകം ,നജസ ജഗം ,,17,NJSJG
13,ധരാനന്ദിനി ,യജസ സഗം,,19,YJSSG
13,അഘ ഹരണം ,നനന നഗം ,,14,NNNNG
13,നവ താരുണ്യം ,നനന യഗം ,,16,NNNYG
13,ലളിത ശരീരം ,നജന സഗം,,16,NJNSG
13,രമണം ,നനഭ ഭഗം ,,16,NNBBG
13,രജനി ,ഭസ നനഗം ,,16,BSNNG
13,ദൂഷണഹരണം ,സനജ നഗം ,,16,SNJNG
13,വസുധ ,സഭന ജലം ,,16,SBNJL
13,അവനി ,സസന  ജലം,,16,SSNJL
13,മംഗളഫലകം ,നനത നഗം ,,16,NNTNG
14,വസന്തതിലകം ,തഭജ ജഗഗം ,,21,TBJJGG
14,ഇന്ദുവന്ദന ,ഭജസ നഗഗം ,,18,NBSNGG
14,പ്രമദ ,നജഭ ജലഗം ,,18,NJBJLG
14,സുകേസരം,നരന രലഗം ,,19,NRNRLG
14,അസംബാധാ ,മതന സഗംഗം ,5,22,MTNSGG
14,അപരാജിത ,നനര സലഗം ,7,18,NNRSLG
14,അലോല ,മസസ മഗഗം ,7,24,MSSMGG
14,പ്രഹരണ തിലകം ,നനഭ നലഗം ,,16,NNBNLG
14,കുമാരി ,നജഭ ജഗഗം ,,19,NJBJGG
14,പത്ഥ്യാ(മഞ്ജരി),സജസ യലഗം ,5,20,SJSYLG
14,മദാനാർത്ത ,തയസ ഭഗഗം ,,22,TYSBGG
14,ഗിരിശിഖം ,ഭനന നലഗം ,,16,BNNNLG
14,സരോരുഹ  ,നജന സലലം ,,16,NJNSLL
14,കമലാകര ,നനഭ സലലം,,16,NNBSLL
14,കരുണാകര ,സനന നലഗം ,,16,SNNNLG
14,വലജ ,നജന നലഗം ,,16,NJNNLG
14,ശുഭഗതി ,സനജം നലലം ,,16,SNJNLL
15,മാലിനി ,നനമ യയം  ,,22,NNMYY
15,ഉപമാലിനി ,നനത ഭരം ,8,20,NNTBR
15,ശശികലാ ,നനന നസം ,,16,NNNNS
15,കാമക്രീഡാ ,മമമ മമം ,,30,MMMMM
15,പ്രഭദ്രകം ,നജഭ  ജരം  ,,20,NJBJR
15,തേലാ ,സജന നയം  ,5,19,SJNNY
15,ചന്ദ്രലേഖാ ,മരമ യയം ,"7,8",27,MRMYY
15,ചന്ദ്രരേഖാഖ്യ,രരര രരം ,,25,RRRRR
15,ദളം ,സജന നസം ,,18,SJNNS
15,സംസാരം ,നയന യമം ,,22,NYNYM
15,സകലകല ,മഭസ ഭസം ,,22,MBSBS
15,സാരസകലിക,മതന ഭസം ,,22,MTNBS
15,മരതകനീല ,സതന തയം  ,,22,STNTY
16,പഞ്ച ചാമരം ,ജര  ജര ജഗം ,,24,JRJRJG
