16,മന്ദാക്രാന്താ ,"4,7",25,MBNTTG
15,സകലകല ,,22,MBSBS
10,മത്ത ,,16,MBSG
12,ജലധരമാല  ,,20,MBSM
19,വാണി ,,28,MBSNYSG
11,വാതോർമ്മി   ,,19,MBTGG
4,കന്യാ-2,,8,MG
5,ഗൗരി ,,10,MGG
8,വിപുല ,,,MJG
8,വിപുല ,,,MJL
18,സിംഹവിഷ്‌ഫൂർജിതം ,"5,6,7",32,MMBMYY
8,വിപുല ,,,MMG
8,വിദ്യുന്മാല ,,14,MMGG
8,വിപുല ,,,MML
15,കാമക്രീഡ,,30,MMMMM
23,മത്താക്രീഡ ,,32,MMTNNNNLG
26,ഭുജംഗവിജൃംഭിതം ,,38,MMTNNNRSLG
12,വൈശ്വദേവി ,"5,7",22,MMYY
8,ഹംസരുത ,,16,MNGG
13,പ്രഹർഷിണി ,3,20,MNJRG
8,വിപുല ,,,MNL
8,ചപലവക്ത്രം ,,,MNLG
9,രമണീയം ,,17,MNY
20,സുവദന ,,30,MRBNYBGL
21,സ്രഗ്ന്ധര,,33,MRBNYYY
8,"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",,,MRGG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,MRGL
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,MRLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,MRLL
15,ചന്ദ്രലേഖ-1,"7,8",27,MRMYY
7,മദലേഖ,,12,MSG
8,"അനുഷ്ടുഭ്-പാദം-1,3",,,MSGL
,(A/V)ഉപസ്ഥിതപ്രചൂപിത/വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-1 ,,,MSJBGG
18,ഹരിണപ്ലുതം ,"8,5,5",23,MSJBR
10,ശുദ്ധവിരാൾ  ,,16,MSJG
,"(A/V)ഭദ്രവിരാൾ-പാദം-2,4",,,MSJSS
19,ശാർദ്ദൂലവിക്രീഡിതം ,12,30,MSJSTTG
8,"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",,,MSLG
8,"അനുഷ്ടുഭ്-പാദം-2,4",,,MSLL
14,അലോല ,7,24,MSSMGG
19,മണി ദീപ്‌തി ,,30,MSSTJYG
8,വിപുല ,,,MTG
8,വിപുല ,,,MTL
15,സാരസകലിക,,22,MTNBS
14,അസംബാധ ,5,22,MTNSGG
18,കുസുമിതലതാവേല്ലിത,"5,6,7",24,MTNYY
13,മത്തമയൂരം ,4,17,MTSG
11,ശാലിനി  ,,20,MTTGG
8,വിപുല ,,,MYG
8,വിപുല ,,,MYL
12,ദ്രുതവിളംബിതം ,,16,NBBR
,"(A/V)ഹരിണപ്ലുതം-പാദം-2,4",,,NBBR
7,മധുമതി ,,12,NBG
23,അശ്വലളിതം,,30,NBJJBJBLG
23,മഞ്ജുള ,,30,NBJJBJBLG
12,പ്രിയംവദ ,,16,NBJR
12,ദ്രുതഗതി ,,16,NBJY
8,വിപുല ,,,NBL
21,കുമുദിനി ,,26,NBNBNBR
12,ദ്രുതപദം ,,15,NBNY
19,ഭ്രമരാവലി ,,26,NBRSJJG
19,മകരന്ദിക ,,26,NBRSJJG
14,ഇന്ദുവന്ദന ,,18,NBSNGG
11,ജലധരനീലം ,,12,NGNGG
14,കുമാരി-1 ,,19,NJBJGG
16,നർക്കുടകം ,7,22,NJBJJLG
14,പ്രമദ ,,18,NJBJLG
15,പ്രഭദ്രകം-1,,20,NJBJR
16,വാണിനി(ഭാരതി),,22,NJBJRG
24,ലളിതം-2,,31,NJBSJSJS
12,നവമാലിക ,,16,NJBY
8,വിപുല ,,,NJG
11,സുമുഖി-1,,15,NJJGG
20,ഭവസാരം ,,24,NJJNNNGG
12,മാനിനി ,,16,NJJR
,"(A/V)പുഷ്പിതാഗ്ര-പാദം-2,4",,,NJJRG
12,ലളിതപദം ,,16,NJJY
,"(A/V)ദ്രുതമദ്ധ്യ-പാദം-2,4",,,NJJY
8,വിപുല ,,,NJL
17,സുശരീരം  ,,22,NJNBBGG
21,സലിലനിധി ,,27,NJNJJJR
19,കുവലിനി ,,22,NJNNJNG
14,വലജം,,16,NJNNLG
26,കരംഭം ,,27,NJNNSNNGG
12,അതിരുചിര-1  ,,14,NJNS
17,ഗുണജാലം ,,22,NJNSBGG
13,ലളിതശരീരം ,,16,NJNSG
14,സരോരുഹ  ,,16,NJNSLL
23,മണിഘൃണി ,,28,NJNSNNBGG
19,അമലതാരം ,,22,NJNSNNG
22,കമലദിവാകരം  ,,28,NJNSNNMG
13,പ്രഭദ്രകം-2,,17,NJSJG
16,ഗിരിസാരം ,,22,NJYBSG
21,നൃപതിലലാമം ,,28,NJYNYNY
8,വിപുല ,,,NMG
,"(A/V)അപരവക്ത്രം-പാദം-2,4",,,NMJJR
8,വിപുല ,,,NML
13,രമണം-2,,16,NNBBG
19,ധൃതകുതുകം ,,22,NNBBNNG
11,പൃത്ഥ്വി-2,,14,NNBGG
11,ശുഭജാതം ,,14,NNBGG
12,ജ്വാല ,,16,NNBM
24,മധുകരകളഭം ,,33,NNBMSNNNS
19,പ്രഥമപദം,,22,NNBNJNG
14,പ്രഹരണ തിലകം ,,16,NNBNLG
17,രമണണി,,22,NNBNYGG
12,ഉജ്ജ്വല ,,15,NNBR
17,മദനീയം ,,22,NNBSBGG
14,കമലാകരം,,16,NNBSLL
25,മണിമകുടം ,,30,NNBSSNJNG
,(A/V)ആപീഡം-പാദം-1,,,NNGG
20,പാത്രം ,,23,NNJNNNGG
8,വിപുല ,,,NNL
9,ശിശുഭൃത,,18,NNM
12,ലളിതം-1,,17,NNMR
16,ഹരി ,,24,NNMRSLG
